Bin foot size: 100,200
Samples count: 10
ID|Size|ShelfAlg time|ShelfAlg H|LayerAlg time|LayerAlg H|NaiveAlg time|NaiveAlg H
1|50|0.000000|29|0.000000|20|0.000000|716|
2|100|0.000000|41|0.000000|31|0.000000|1470|
3|150|15000.000000|44|18000.000000|43|0.000000|2162|
4|200|0.000000|60|47000.000000|55|0.000000|2795|
5|250|0.000000|71|31000.000000|69|16000.000000|3716|
6|300|15000.000000|97|78000.000000|78|0.000000|4495|
7|350|16000.000000|109|93000.000000|86|0.000000|5248|
8|400|31000.000000|115|94000.000000|98|0.000000|5749|
9|450|28000.000000|124|189000.000000|106|0.000000|6492|
10|500|32000.000000|148|203000.000000|124|15000.000000|7359|
