Bin foot size: 100,200
Samples count: 10
ID|Size|ShelfAlg time|ShelfAlg H|LayerAlg time|LayerAlg H|NaiveAlg time|NaiveAlg H
1|500|46000.000000|140|250000.000000|112|0.000000|7172|
2|1000|328000.000000|277|998000.000000|228|16000.000000|14703|
3|1500|514000.000000|411|2064000.000000|346|16000.000000|21710|
4|2000|796000.000000|542|3638000.000000|454|31000.000000|28905|
5|2500|1436000.000000|650|5632000.000000|554|15000.000000|35817|
6|3000|2418000.000000|781|7758000.000000|662|16000.000000|42662|
7|3500|3166000.000000|916|10922000.000000|773|16000.000000|51096|
8|4000|3932000.000000|1056|13895000.000000|898|15000.000000|57719|
9|4500|5387000.000000|1139|18077000.000000|980|31000.000000|64994|
10|5000|7025000.000000|1291|21946000.000000|1115|16000.000000|72448|
